Inv. Date,Area,Customer,Customer Name,Comp,Branch,STYP,Order No,  Item,DLV. No,  Item,Bill Typ,Invoice No,  Item,Mat.Gr,Parts No,Description,Q'ty,BUn,  Sales Amount,        Tax,Faktur Pajak No.
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,140,796507326,10,ZFBH,56317477,14,8RB,DKL-HOIL68-I200,OIL HYD 68LL (DRUM),1,PC,"5,050,000","555,499",010.002-23.87620229
05.01.2023,,F1246A,PT.PUTRA RIMBA NUSANTARA,AR1,AYC,ZAB1,901148755,30,796508211,10,ZFBH,56317631,1,8R1,VA3436204100J1M," FILTER, FUEL",2,PC,"387,400","42,614",010.002-23.87620429
05.01.2023,,F1246A,PT.PUTRA RIMBA NUSANTARA,AR1,AYC,ZAB1,901148755,40,796508212,10,ZFBH,56317631,2,8R1,YN21P01068R100J1J,"FILTER,FUEL",2,PC,"231,400","25,454",010.002-23.87620429
05.01.2023,,F1246A,PT.PUTRA RIMBA NUSANTARA,AR1,AYC,ZAB1,901148755,50,796508213,10,ZFBH,56317631,3,8R1,VA32G4001100J1M," FILTER, OIL",1,PC,"109,200","12,012",010.002-23.87620429
05.01.2023,,F1246A,PT.PUTRA RIMBA NUSANTARA,AR1,AYC,ZAB1,901148755,60,796508214,10,ZFBH,56317631,4,8R1,VH23390E0020J1M," ELEMENT, FUEL",2,PC,"231,400","25,454",010.002-23.87620429
05.01.2023,,F1246A,PT.PUTRA RIMBA NUSANTARA,AR1,AYC,ZAB1,901148755,10,796508215,10,ZFBH,56317631,5,8RB,DKL-EOILDH1-I22,OIL ENGINE DH1 15W40 (PAIL-22),1,PC,"650,000","71,500",010.002-23.87620429
05.01.2023,,F1246A,PT.PUTRA RIMBA NUSANTARA,AR1,AYC,ZAB1,901148755,20,796508216,10,ZFBH,56317631,6,8RB,DKL-HOIL68-I20,OIL HYD 68LL (PAIL),2,PC,"1,096,000","120,560",010.002-23.87620429
09.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149029,10,796510346,10,ZFBH,56317918,1,8R4,YN10V00070R999,SEAL KIT,1,PC,"2,139,150","235,307",010.002-23.87620809
09.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149029,30,796510347,10,ZFBH,56317918,2,8R4,LQ10V00036R999,SEAL KIT,1,PC,"117,000","12,870",010.002-23.87620809
09.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901149029,40,796510348,10,ZFBH,56317918,3,8R4,YN10V01011R999,SEAL KIT,2,PC,"4,200,300","462,033",010.002-23.87620809
